source,term_id,term_name,fdr,significant,intersection_size,query_size,term_size,background_size,genes,gene_symbols
GO:BP,GO:0030838,positive regulation of actin filament polymerization,0.27294949655327505,False,3,86,7,1708,ENSG00000163171 ENSG00000151422 ENSG00000079691,CDC42EP3 FER CARMIL1
GO:BP,GO:0030836,positive regulation of actin filament depolymerization,0.27294949655327505,False,1,86,1,1708,ENSG00000079691,CARMIL1
GO:BP,GO:0030833,regulation of actin filament polymerization,0.27294949655327505,False,3,86,14,1708,ENSG00000163171 ENSG00000151422 ENSG00000079691,CDC42EP3 FER CARMIL1
GO:BP,GO:0030449,regulation of complement activation,0.27294949655327505,False,1,86,1,1708,ENSG00000149131,SERPING1
GO:BP,GO:0030335,positive regulation of cell migration,0.27294949655327505,False,6,86,44,1708,ENSG00000103811 ENSG00000150630 ENSG00000151422 ENSG00000113070 ENSG00000079691 ENSG00000213654,CTSH VEGFC FER HBEGF CARMIL1 GPSM3
GO:BP,GO:0048312,intracellular distribution of mitochondria,0.27294949655327505,False,1,86,1,1708,ENSG00000104442,ARMC1
GO:BP,GO:0046113,nucleobase catabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0046104,thymidine metabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0033058,directional locomotion,0.27294949655327505,False,1,86,1,1708,ENSG00000242498,ARPIN
GO:BP,GO:0033043,regulation of organelle organization,0.27294949655327505,False,12,86,116,1708,ENSG00000089053 ENSG00000242498 ENSG00000149927 ENSG00000103056 ENSG00000070366 ENSG00000163171 ENSG00000163635 ENSG00000151422 ENSG00000079691 ENSG00000112659 ENSG00000002822 ENSG00000158106,ANAPC5 ARPIN DOC2A SMPD3 SMG6 CDC42EP3 ATXN7 FER CARMIL1 CUL9 MAD1L1 RHPN1
GO:BP,GO:0033037,polysaccharide localization,0.27294949655327505,False,2,86,2,1708,ENSG00000171310 ENSG00000103056,CHST11 SMPD3
GO:BP,GO:0032956,regulation of actin cytoskeleton organization,0.27294949655327505,False,5,86,35,1708,ENSG00000242498 ENSG00000163171 ENSG00000151422 ENSG00000079691 ENSG00000158106,ARPIN CDC42EP3 FER CARMIL1 RHPN1
GO:BP,GO:0032940,secretion by cell,0.27294949655327505,False,8,86,65,1708,ENSG00000120451 ENSG00000149927 ENSG00000103056 ENSG00000166573 ENSG00000053438 ENSG00000150630 ENSG00000131558 ENSG00000176406,SNX19 DOC2A SMPD3 GALR1 NNAT VEGFC EXOC4 RIMS2
GO:BP,GO:0046879,hormone secretion,0.27294949655327505,False,5,86,23,1708,ENSG00000120451 ENSG00000103056 ENSG00000166573 ENSG00000053438 ENSG00000176406,SNX19 SMPD3 GALR1 NNAT RIMS2
GO:BP,GO:0033206,meiotic cytokinesis,0.27294949655327505,False,1,86,1,1708,ENSG00000204991,SPIRE2
GO:BP,GO:0032273,positive regulation of protein polymerization,0.27294949655327505,False,4,86,14,1708,ENSG00000110497 ENSG00000163171 ENSG00000151422 ENSG00000079691,AMBRA1 CDC42EP3 FER CARMIL1
GO:BP,GO:0043242,negative regulation of protein-containing complex disassembly,0.27294949655327505,False,2,86,7,1708,ENSG00000163635 ENSG00000079691,ATXN7 CARMIL1
GO:BP,GO:1901526,positive regulation of mitophagy,0.27294949655327505,False,1,86,1,1708,ENSG00000110497,AMBRA1
GO:BP,GO:1901492,positive regulation of lymphangiogenesis,0.27294949655327505,False,1,86,1,1708,ENSG00000150630,VEGFC
GO:BP,GO:1901490,regulation of lymphangiogenesis,0.27294949655327505,False,1,86,1,1708,ENSG00000150630,VEGFC
GO:BP,GO:1901137,carbohydrate derivative biosynthetic process,0.27294949655327505,False,5,86,39,1708,ENSG00000171310 ENSG00000133687 ENSG00000135454 ENSG00000111669 ENSG00000103056,CHST11 TMTC1 B4GALNT1 TPI1 SMPD3
GO:BP,GO:0098814,spontaneous synaptic transmission,0.27294949655327505,False,2,86,3,1708,ENSG00000149927 ENSG00000176406,DOC2A RIMS2
GO:BP,GO:0098659,inorganic cation import across plasma membrane,0.27294949655327505,False,2,86,7,1708,ENSG00000162753 ENSG00000010810,SLC9C2 FYN
GO:BP,GO:0097734,extracellular exosome biogenesis,0.27294949655327505,False,1,86,1,1708,ENSG00000103056,SMPD3
GO:BP,GO:0097531,mast cell migration,0.27294949655327505,False,1,86,1,1708,ENSG00000150630,VEGFC
GO:BP,GO:0098916,anterograde trans-synaptic signaling,0.27294949655327505,False,7,86,65,1708,ENSG00000156395 ENSG00000149927 ENSG00000154822 ENSG00000007402 ENSG00000010810 ENSG00000131558 ENSG00000176406,SORCS3 DOC2A PLCL2 CACNA2D2 FYN EXOC4 RIMS2
GO:BP,GO:0098883,synapse pruning,0.27294949655327505,False,1,86,1,1708,ENSG00000135298,ADGRB3
GO:BP,GO:0032271,regulation of protein polymerization,0.27294949655327505,False,4,86,23,1708,ENSG00000110497 ENSG00000163171 ENSG00000151422 ENSG00000079691,AMBRA1 CDC42EP3 FER CARMIL1
GO:BP,GO:0043171,peptide catabolic process,0.27294949655327505,False,2,86,4,1708,ENSG00000072657 ENSG00000103811,TRHDE CTSH
GO:BP,GO:0030323,respiratory tube development,0.27294949655327505,False,3,86,17,1708,ENSG00000103811 ENSG00000103056 ENSG00000196182,CTSH SMPD3 STK40
GO:BP,GO:0031118,rRNA pseudouridine synthesis,0.27294949655327505,False,1,86,1,1708,ENSG00000166133,RPUSD2
GO:BP,GO:0048518,positive regulation of biological process,0.27294949655327505,False,35,86,544,1708,ENSG00000067082 ENSG00000110497 ENSG00000149131 ENSG00000089053 ENSG00000161813 ENSG00000103811 ENSG00000149927 ENSG00000103056 ENSG00000204991 ENSG00000166573 ENSG00000104885 ENSG00000143614 ENSG00000159023 ENSG00000142599 ENSG00000053438 ENSG00000100354 ENSG00000158019 ENSG00000163171 ENSG00000124356 ENSG00000174579 ENSG00000154822 ENSG00000007402 ENSG00000163635 ENSG00000150630 ENSG00000151422 ENSG00000113070 ENSG00000010810 ENSG00000079691 ENSG00000124557 ENSG00000232040 ENSG00000213654 ENSG00000135298 ENSG00000005483 ENSG00000002822 ENSG00000176406,KLF6 AMBRA1 SERPING1 ANAPC5 LARP4 CTSH DOC2A SMPD3 SPIRE2 GALR1 DOT1L GATAD2B EPB41 RERE NNAT TNRC6B BABAM2 CDC42EP3 STAMBP MSL2 PLCL2 CACNA2D2 ATXN7 VEGFC FER HBEGF FYN CARMIL1 BTN1A1 SCAND3 GPSM3 ADGRB3 KMT2E MAD1L1 RIMS2
GO:BP,GO:0046049,UMP metabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0046035,CMP metabolic process,0.27294949655327505,False,1,86,1,1708,ENSG00000188641,DPYD
GO:BP,GO:0045931,positive regulation of mitotic cell cycle,0.27294949655327505,False,3,86,17,1708,ENSG00000089053 ENSG00000005483 ENSG00000002822,ANAPC5 KMT2E MAD1L1
